iter	Passed	Remaining
0	6	1512
1	13	1660
2	19	1605
3	25	1515
4	31	1490
5	37	1483
6	43	1482
7	52	1560
8	61	1601
9	69	1635
10	77	1632
11	85	1659
12	92	1650
13	100	1646
14	106	1627
15	116	1656
16	124	1656
17	133	1673
18	140	1666
19	150	1681
20	157	1675
21	165	1665
22	172	1656
23	189	1740
24	197	1725
25	204	1711
26	212	1705
27	219	1693
28	227	1687
29	239	1706
30	246	1696
31	253	1676
32	259	1657
33	267	1653
34	274	1640
35	281	1628
36	289	1617
37	297	1610
38	307	1614
39	313	1599
40	321	1593
41	330	1588
42	341	1594
43	348	1583
44	355	1570
45	362	1562
46	370	1553
47	380	1554
48	386	1538
49	394	1529
50	402	1523
51	408	1507
52	416	1500
53	421	1484
54	430	1477
55	439	1473
56	449	1475
57	457	1466
58	464	1456
59	471	1446
60	480	1441
61	487	1430
62	495	1422
63	502	1414
64	510	1405
65	517	1394
66	535	1413
67	542	1405
68	552	1402
69	559	1391
70	570	1390
71	577	1380
72	584	1369
73	593	1363
74	600	1353
75	607	1343
76	614	1332
77	621	1321
78	636	1328
79	642	1318
80	650	1309
81	656	1297
82	663	1286
83	670	1276
84	676	1266
85	684	1257
86	691	1247
87	696	1234
88	702	1224
89	710	1216
90	724	1217
91	731	1207
92	739	1201
93	748	1194
94	758	1189
95	765	1180
96	773	1171
97	780	1163
98	788	1155
99	795	1145
100	803	1137
101	810	1128
102	820	1123
103	831	1118
104	838	1110
105	846	1101
106	855	1095
107	862	1086
108	870	1077
109	877	1069
110	883	1058
111	892	1052
112	900	1043
113	906	1033
114	920	1032
115	929	1025
116	936	1016
117	943	1007
118	952	1000
119	960	992
120	966	982
121	975	975
122	983	967
123	990	958
124	998	951
125	1005	941
126	1013	933
127	1022	926
128	1028	916
129	1035	908
130	1042	898
131	1049	890
132	1057	882
133	1064	873
134	1070	864
135	1082	859
136	1090	851
137	1098	843
138	1104	834
139	1110	824
140	1118	817
141	1125	808
142	1134	801
143	1145	795
144	1156	789
145	1167	783
146	1174	774
147	1183	767
148	1190	758
149	1196	749
150	1205	742
151	1212	734
152	1222	726
153	1230	719
154	1239	711
155	1246	703
156	1255	695
157	1263	687
158	1270	679
159	1286	675
160	1295	667
161	1306	661
162	1313	652
163	1320	644
164	1328	636
165	1335	627
166	1342	619
167	1349	610
168	1357	602
169	1366	595
170	1373	586
171	1380	577
172	1390	570
173	1398	562
174	1405	554
175	1411	545
176	1418	537
177	1426	529
178	1433	520
179	1442	512
180	1451	505
181	1458	496
182	1463	487
183	1470	479
184	1476	470
185	1484	462
186	1492	454
187	1498	446
188	1508	438
189	1516	430
190	1522	422
191	1531	414
192	1539	406
193	1546	398
194	1553	390
195	1560	382
196	1567	374
197	1575	365
198	1581	357
199	1587	349
200	1594	341
201	1612	335
202	1619	327
203	1633	320
204	1641	312
205	1649	304
206	1657	296
207	1671	289
208	1678	281
209	1687	273
210	1695	265
211	1704	257
212	1711	249
213	1718	240
214	1728	233
215	1734	224
216	1740	216
217	1746	208
218	1754	200
219	1761	192
220	1769	184
221	1776	176
222	1788	168
223	1797	160
224	1804	152
225	1812	144
226	1820	136
227	1830	128
228	1837	120
229	1844	112
230	1850	104
231	1858	96
232	1868	88
233	1880	80
234	1886	72
235	1893	64
236	1899	56
237	1908	48
238	1922	40
239	1931	32
240	1940	24
241	1947	16
242	1954	8
243	1964	0
